Profil,Lieu_de_recherche,Disponibilité,Points_forts,Expérience,Compétence
Administrateur système et réseaux,France entière,immédiate,,"Chef de bureau IT

|
Centre National du Registre du Commerce (algerie) (Alger)","Administrer un système d'informations
Améliorer un système d'information
Gérer la sécurité informatique"
"Accompagner une société industrielle dans sa transformation digitale (CRM, marketing, vente) dans les secteur Aéronautique, Spatial , Défense.",France entière,immédiate,"Évaluer la mise en oeuvre d'un projet, plan d'action
Animer, coordonner une équipe
Développer et fidéliser la relation client
Mettre en oeuvre une stratégie commerciale
Directeur grand compte (commercial et production)","Stratege de la Transformation Numerique - Ecole Polytechnique RNCP34126BC04

|
Bac+5 et plus ou équivalents","Déterminer le potentiel d'un client ou prospect
Développer et fidéliser la relation client
Élaborer une stratégie commerciale
Établir un devis
Établir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques)
Mettre en oeuvre une stratégie commerciale
Participer à l'élaboration d'une stratégie de relation clientèle"
Laborantin et Technicien l'élevage,France entière,immédiate,,"2IP Institut

|
 (Marrakech)","Langues vivantes étrangères
(Intermédiaire)
Méthodes d'analyse en microbiologie
(Intermédiaire)
Méthodes d'élevage
(Intermédiaire)
Physicochimie
(Débutant)
Statistiques
(Intermédiaire)"
Statisiticien - Analyste des données - Machine learning,France entière,immédiate,,"Ingénieur d’étude et développement

|
AUSYCette Expérience contient une pièce jointe","Analyse statistique
(Intermédiaire)
Anglais financier
Apprentissage automatique (machine learning)
(Intermédiaire)
Mathématiques financières
(Débutant)
Statistiques
(Intermédiaire)"
Ingénieur FullStack .Net core Angular,France entière,immédiate,"ASP.NET
Business Intelligence (BI) / Informatique décisionnelle
C#
PHP
SQL","Développeur Backend c# .Net Core

|
Education4Sight : https://education4sight.com/ (Route Taniour, Sfax, Tunisie)Cette Expérience contient une pièce jointe","Algorithmique
Apache
(Avancé)
Architecture web
(Avancé)
ASP.NET
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
C#
(Avancé)
CSS
(Avancé)
Gestion de configuration
(Avancé)
HTML
(Avancé)
Informatique de gestion
(Avancé)
Informatique scientifique et technique
(Avancé)
PHP
(Avancé)
Progiciels de gestion intégrée d'entreprise (ERP)
(Avancé)
Programmation logicielle
(Avancé)
SQL
(Avancé)
Systèmes d'exploitation informatique
(Avancé)"
DG/DGA Stratégie - Commercial - Opérations,France entière,immédiate,"Faire preuve de leadership
Prendre une décision et l'expliquer
S'adapter aux changements
Élaborer une stratégie de développement d'activité
Gestion des risques (Risk Management)","Directeur de la stratégie et des revenus (35 p), membre du CoDir

|
Kinéis (Toulouse, Paris, USA, Europe)","Droit commercial
(Avancé)
Droit des affaires
(Avancé)
Droit du commerce international
(Avancé)
Gestion de projet
(Avancé)
Gestion des risques (Risk Management)
(Avancé)
Marketing / Mercatique
(Avancé)
Outils de planification
(Avancé)
Principe de fusion-acquisition (fusac / M&A)
(Avancé)
Réglementation des douanes
(Intermédiaire)"
Consultante,France entière,immédiate,"Être à l'écoute, faire preuve d'empathie
Faire preuve de rigueur et de précision
Travailler en équipe
Concevoir des supports de communication visuelle
Anglais","Consultant Engineer 

|
Capgemini Engineering (Marignane)","Apprentissage automatique (machine learning)
(Intermédiaire)
CSS
(Débutant)
HTML
(Débutant)
Python
(Débutant)
SQL
(Intermédiaire)
Stratégies de communication externe"
Actuellement a la recherche d'un nouveau d’emploi  dans la grande distribution ou au  niveau internationale,France entière,immédiate,"Gestes et postures de manutention
HSE et HSEQ
Mécanique général
Ponts roulants (CACES R 318)
Techniques d'élingage","RESPONSABLE LOGISTIQUE ET PARCS ROULANTS

|
WELTHUNGERHILFE (TULEAR MADAGASCAR)","Appréciation de charge
(Intermédiaire)
Caractéristiques de la chaîne logistique (Supply Chain)
(Avancé)
Gestes et postures de manutention
(Avancé)
Logiciel de gestion de stocks
(Avancé)
Maintien en condition physique des personnels
(Avancé)
Microsoft Excel
(Intermédiaire)
Pratique du basket-ball
(Avancé)
Pratique du volley Ball
(Avancé)
Progiciel de gestion Sage 100
(Intermédiaire)
Répertoire de musiques pop/rock
(Débutant)
Santé et sécurité au travail
(Avancé)
Système informatique (embarqué ou fixe)
(Intermédiaire)"
"Economiste du développement, spécialise des questions climatiques et monétaires",France entière,immédiate,,"Economiste Consultant

|
World Bank (Paris)","Adapter les outils de traitement statistique de données
Analyser, exploiter, structurer des données
Définir et faire évoluer des procédés de traitement de l'information
Mettre à jour un dossier, une base de données"
Ingénieure bio-informaticienne en recherche d'emploi,France entière,immédiate,"Ecrire des programmes et des algorithmes pour répondre à un besoin et pour développer un contenu riche (jeu, site web…), avec des environnements de développement informatique simples, des logiciels de planification de tâches
Langage R
Linux
Python
Développer des packages en R","Assistante de recherche

|
Université de Hong Kong  (Hong Kong)","Collecter et analyser des données, des informations"
Data Scientist,France entière,immédiate,"Apprentissage automatique (machine learning)
Établir des prévisions, des évaluations, des recommandations, des perspectives
Exploiter des solutions de Data Science ou d'Intelligence Artificielle
Python
Rédiger les volets IA et Data Science d'une proposition commerciale de développement de solution","Data Scientist 

|
SIEMENS (Paris)","Analyse statistique
Apprentissage automatique (machine learning)
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Économie du développement durable
Gestion budgétaire
Gestion commerciale, relation clients
Intelligence économique
Langages de programmation informatique
Logiciel de statistiques
Logiciels de gestion de base de données
Modélisation et simulation
Modélisation statistique
Python
Système d'exploitation Unix
Système d'exploitation Windows
Système de Gestion de Bases de Données (SGBD)
Technologies HADOOP"
"Titulaire d’un master en physique appliquée avec une expertise en apprentissage profond et une passion pour l’analyse de données, je vise un premier emploi en tant que Data Scientist.",France entière,immédiate,"Parler une ou plusieurs langues étrangères
Collaborer avec une équipe projet
Exploiter des solutions de Data Science ou d'Intelligence Artificielle
Modélisation et simulation
Python","Stagiaire Chercheur Deep Learning

|
XLIM-CNRS (Poitiers)","Algorithmique
Analyse et d'optimisation des coûts
(Débutant)
Analyse statistique
Biologie
Conception de Fabrication Assistée par Ordinateur (CFAO)
Conception et Dessin Assistés par Ordinateur (CAO/DAO)
Informatique
Intelligence artificielle
(Avancé)
Langages de programmation informatique
(Intermédiaire)
Maîtrise de l’anglais (écrit et oral)
(Avancé)
Maîtrise du pack Office (Word, Excel, Outlook, PowerPoint)
(Avancé)
Mathématiques
Modélisation et simulation
(Avancé)
Modélisation statistique
Montage de composant électrique
(Avancé)
Optique
(Avancé)
Optronique
(Avancé)
Python
(Avancé)
Sciences physiques
Signal électromagnétique
(Avancé)
SQL
(Intermédiaire)
Technologie des fibres optiques
(Avancé)
Technologies radiofréquences
(Avancé)
Traitement du signal
(Avancé)"
Data Analyst,France entière,immédiate,"Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
Python
SQL
Visual Basic for Applications (VBA)","Data Analyst

|
Coface (Bois Colombes, Ile de France, France)","Analysis Services
(Avancé)
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Docker
(Intermédiaire)
Français
(Intermédiaire)
Microsoft Excel
(Avancé)
Python
(Avancé)
SQL
(Avancé)
Visual Basic for Applications (VBA)
(Avancé)"
Jeune diplômé cherchant à évoluer dans le domaine de la data,France entière,immédiate,"Intégrer des outils IA/Data Science
Organiser son travail selon les priorités et les objectifs
Planifier les étapes d'un projet
Prendre des initiatives et être force de proposition
Programmation logicielle","Master 2 MIAGE IKSEM

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Algorithmique
(Intermédiaire)
Application web
(Intermédiaire)
Architecture web
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
CSS
(Intermédiaire)
HTML
(Avancé)
Informatique de gestion
(Intermédiaire)
Java
(Intermédiaire)
Langages de programmation informatique
(Intermédiaire)
Logiciels de gestion de base de données
(Avancé)
Modélisation et simulation
Modélisation statistique
(Intermédiaire)
PHP
(Intermédiaire)
Programmation logicielle
(Intermédiaire)
Python
(Avancé)
Script Shell
(Débutant)
SQL
(Avancé)
XML
(Débutant)"
À la recherche d'une nouvelle opportunité dans le domaine de la data science pour développer mes compétences et mettre à profit mes connaissances.,France entière,immédiate,"Adapter les outils de traitement statistique de données
Déterminer l'opportunité de l'intégration d'outils IA/Data Science dans le modèle d'affaires
Lire et interpréter des données et documents techniques au besoin en anglais
Mobiliser des données massives pour éclairer les prises de décisions
Python","Diplôme d'ingénieur: Big Data & Machine Learning

|
Bac+5 et plus ou équivalents","Adapter les outils de traitement statistique de données
Déterminer l'opportunité de l'intégration d'outils IA/Data Science dans le modèle d'affaires
Lire et interpréter des données et documents techniques au besoin en anglais
Mobiliser des données massives pour éclairer les prises de décisions
Réaliser un modèle de prévision"
Ingénieur en systèmes distribués et technologies de la data science,France entière,immédiate,"Apprentissage automatique (machine learning)
Cloud computing
deep learning
Exploration de données (data mining)
Système de Gestion de Bases de Données (SGBD)","Data Scientist

|
LABORATOIRE IMAGES, SIGNAUX ET SYSTÈMES INTELLIGENTS (Virty sur seine)","Application web
Apprentissage automatique (machine learning)
(Intermédiaire)
Big data Analytics
Cloud computing
(Intermédiaire)
CSS
(Intermédiaire)
Docker
(Intermédiaire)
Exploration de données (data mining)
(Intermédiaire)
Framework Yii
Gestion de version GIT
(Intermédiaire)
HTML
(Intermédiaire)
Java
(Intermédiaire)
Javascript
(Intermédiaire)
Kubernetes
(Intermédiaire)
Langages de programmation informatique
Microsoft Exchange Server
(Intermédiaire)
Microsoft SQL Server
(Intermédiaire)
Modélisation et simulation
MySQL
(Intermédiaire)
Oracle
(Intermédiaire)
PHP
(Intermédiaire)
Python
(Avancé)
Script Shell
(Intermédiaire)
SQL
(Avancé)
Système d'exploitation Unix
(Intermédiaire)
Système de Gestion de Bases de Données (SGBD)
(Avancé)
XML
(Intermédiaire)"
Data Scientist seeking opportunities to utilize my skills and contribute to revolutionary projects,France entière,immédiate,"Big data Analytics
Concevoir des modèles de détection des insights consommateurs
Langages de programmation informatique
Modélisation et simulation
Réaliser un modèle de prévision","Diplôme National de Master en Sciences, Technologies, Santé  Mention lnformatique Parcours

|
Bac+5 et plus ou équivalents","Big data Analytics
Intelligence économique
Langages de programmation informatique
Modélisation et simulation"
Data Scientist / Machine Learning,France entière,immédiate,"Apprentissage automatique (machine learning)
Exploiter des solutions de Data Science ou d'Intelligence Artificielle
Langages de programmation informatique
Mathématiques
Anglais","Data scientist Confirmé- Data Science Fullstack 450h

|
Bac+3, Bac+4 ou équivalents","Agronomie
Algorithmique
(Avancé)
Analyse statistique
Apprentissage automatique (machine learning)
(Intermédiaire)
Biologie végétale
Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
Gestion administrative
Langages de programmation informatique
(Avancé)
Logiciel de gestion de stocks
Logiciel de statistiques
Logiciel de traitement de texte
(Intermédiaire)
Logiciels de gestion de base de données
Logiciel tableur
(Avancé)
Mathématiques
(Avancé)
Mathématiques financières
(Avancé)
Modélisation et simulation
Modélisation statistique
Spécificités de stockage des vins
Techniques culturales
Techniques de soins aux arbres ou ceps
Techniques de taille de végétaux
Vinification"
